"","Player","Eff","Vol","allstar","Yr","x3PAVG","x2PAVG","xFTAVG","PTS","TRB","AST","STL","BLK","ASTtTOV","SPBtPFR","PER","WS","OWS","DWS","TS","FTr"
"88","Steve Kuberski",-1.11054207462253,-1.78034198898847,0,1970,0,18.5831993792586,34.1970803788429,26.5543826277367,45.8448712500798,9.55478798336524,0,0,0,0,15.2377380162389,18.1931477674151,12.1538527691778,35.734434124527,27.690350877193,28.9546783625731
"89","Stu Lantz",-0.00392600483530249,0.73192037536122,0,1970,0,25.2408697793553,63.9385914878759,58.0109466044172,27.448624688676,58.1055799577029,0,0,0,0,55.4367238635227,54.0931846045971,50.5598345457139,55.4997860504921,51.9505847953216,47.4245614035088
"90","Clyde Lee",-0.673669489884838,0.660532435456441,0,1970,0,26.6925774605154,8.39225654122063,45.4044559934556,77.2494225299481,19.6840543191592,0,0,0,0,54.7363388269186,48.2218954750733,27.9605263157895,67.785622593068,39.1470760233918,51.5833333333333
"91","Bobby Lewis",-1.53309601000956,-1.60896424414465,0,1970,0,6.84846714314824,25.1832713911944,29.967295148947,17.2424723868805,47.6320827071523,0,0,0,0,26.5978106024648,12.4490925076455,8.88258030922054,37.9964752062805,25.7783625730994,28.2698830409357
"92","Paul Long",1.3230544589433,-2.42628309995291,0,1970,0,47.351457757348,40.6982071496867,12.9223911518366,2.65655843984017,12.5054583750738,0,0,0,0,5.41289062538368,23.3289132629396,35.7558479532164,6.25356725146199,63.1921052631579,80.0652046783626
"93","Kevin Loughery",-0.180930603947098,1.59303090398337,0,1970,0,22.005897990542,79.9776153324565,80.4875888423106,26.7139362185802,75.0559069931806,0,0,0,0,42.0381498890115,61.2903612535273,56.3948697501329,64.5824561403509,49.9961988304094,28.6622807017544
"94","Bob Love",1.16087911477612,2.73977357098236,0,1970,0,58.745533555073,90.199030181912,76.9257849401908,65.9712178212518,35.6406466892749,0,0,0,0,76.6538692378765,74.1982660884152,72.9469761802881,60.3993724147768,66.9084795321637,54.4801169590643
"95","Jerry Lucas",1.05778463242484,3.09065303975845,0,1970,0,72.7712483459308,63.5908001537274,61.5828639468504,86.7814416841726,46.5045569205167,0,0,0,0,59.9871795218125,78.2849754935996,70.7051365977132,76.8969189142009,71.8520467836257,39.9266081871345
"96","Mike Lynn",-1.05102679460924,-2.69552750467916,0,1970,0,25.8538511444349,32.7826499256066,9.88938759618708,10.6741383831167,13.1002363933704,0,0,0,0,6.50789339223117,9.59741683016628,11.8072169059011,14.8506113769272,21.346783625731,50.2137426900585
"97","Ed Manning",-1.73215330010713,-2.27182884078726,0,1970,0,15.2442137033743,47.46053610904,16.0534278604319,31.3307835672791,8.79806357235425,0,0,0,0,14.8563956495514,10.6536021971939,10.7352491926333,22.7508073666754,23.1739766081871,12.5011695906433
"98","Jack Marin",0.887846224330066,2.49578208407882,0,1970,0,73.9664897875815,81.9129498905045,73.4314523628927,54.9139974610034,47.278231258848,0,0,0,0,73.8103940078384,72.5842449756248,69.1190629011553,65.0065611182428,66.2236842105263,24.1459064327485
"99","Don May",-1.08223891472568,-2.48423849325486,0,1970,0,38.6036218829396,53.559271941148,9.42080189646919,9.37113584172408,6.3238240166652,0,0,0,0,6.82296778700906,19.076787354597,19.3347953216374,18.1185395922238,28.9675438596491,13.7859649122807
"100","Willie McCarter",-1.72586341367021,-2.05913522859735,0,1970,0,14.9394568277452,39.7626640538675,33.3512456976135,16.744595274007,42.8823324171825,0,0,0,0,12.4725496067702,7.57590743317599,5.13706140350877,36.8233918128655,23.9587719298246,12.1087719298246
"101","Jon McGlocklin",1.25237059628192,2.02831059322935,0,1970,0,91.3716858207203,72.4811667642963,68.920218731945,27.0569002427343,61.2236773712424,0,0,0,0,70.0099632350979,71.4614426163906,75.8976964769648,45.7006133219227,72.9792397660819,10.5391812865497
"102","Stan McKenzie",-0.338804951354999,-2.39356232758569,0,1970,0,29.4640357771565,53.9793760642172,14.5576970657005,11.9555924189211,18.0803968825482,0,0,0,0,13.0682133243631,16.8733929261939,24.0320629159105,5.3708408953418,35.0883040935673,47.8169590643275
"103","McCoy McLemore",0.182056272410474,-0.955362567376198,0,1970,0,53.366025906486,63.2835529305722,35.0635755922988,42.0282896957056,21.4472825062583,0,0,0,0,34.4935015874139,38.109315449727,48.7518024513338,15.7043979812545,61.0377192982456,32.0438596491228
"104","Tom Meschery",0.549327966216591,0.646775959205132,0,1970,0,63.8799447404286,64.8734584771116,50.9963808033148,64.1222777910084,38.2604533234012,0,0,0,0,52.7782135108991,53.0417314670814,58.421966374269,34.1016081871345,64.5616959064327,35.6178362573099
"105","Eddie Miles",-0.166143082328676,-0.868636250552035,0,1970,0,32.9833888578428,54.2755542451052,54.0966738233677,34.2009270472481,36.9470007948232,0,0,0,0,22.905273587626,34.8261665380817,45.036238646261,17.4405872838124,47.7494152046784,41.0038011695906
"106","Steve Mix",0.298317824239714,-1.77469705775323,0,1970,0,51.2947948065879,29.9527729326821,27.5528759823624,31.8753142282554,16.8561043898179,0,0,0,0,5.78313454591796,32.4052094986039,39.1447368421053,8.26315789473684,55.5169590643275,55.172514619883
"107","Earl Monroe",0.790965763386918,2.88114285028538,0,1970,0,20.5080071340148,92.170751560711,84.3429112415625,27.8072402062434,71.6536010239504,0,0,0,0,79.9808787310469,72.2918473148061,70.2931108258451,62.8860362287833,62.4073099415205,59.1964912280702
"108","Otto Moore",0.208162401629792,0.643442552335858,0,1970,0,60.6398342031863,13.6666865764858,49.4010638935532,76.3647429282104,24.3009712340066,0,0,0,0,60.4335320007412,48.6204206443763,52.391975308642,33.6842105263158,57.4213450292398,54.0377192982456
"109","Erwin Mueller",0.468196496977561,0.0361046812618531,0,1970,0,52.0854075165011,33.4018344912859,43.1097329447037,52.7766073729398,46.8862563549317,0,0,0,0,48.763334050764,46.4261303256147,52.9155420602789,24.8668466036887,60.6953216374269,57.7769005847953
