"","stat","loading","year"
"761","TRB",0.32519761725007,1999
"762","AST",0.263210375214049,1999
"763","STL",0.316996514796093,1999
"764","BLK",0.231604044314687,1999
"765","PER",0.385503936404855,1999
"766","WS",0.389720897754075,1999
"767","OWS",0.343085120132567,1999
"768","DWS",0.335352443686227,1999
"769","x3PAVG",0.0931853125590169,2000
"770","x2PAVG",0.557274607771013,2000
"771","xFTAVG",0.417603145853835,2000
"772","ASTtTOV",0.362231640952592,2000
"773","SPBtPFR",0.0956304044696025,2000
"774","TS",0.341164301140775,2000
"775","FTr",0.499618960099416,2000
"776","PTS",0.374136193619068,2000
"777","TRB",0.316079484161771,2000
"778","AST",0.264191050538365,2000
"779","STL",0.301086884471924,2000
"780","BLK",0.22392757983341,2000
"781","PER",0.387351939560346,2000
"782","WS",0.39217675217854,2000
"783","OWS",0.355377041965782,2000
"784","DWS",0.345521507483719,2000
"785","x3PAVG",0.0713806644434086,2001
"786","x2PAVG",0.487945812557345,2001
"787","xFTAVG",0.380671650626178,2001
"788","ASTtTOV",0.417360329835538,2001
"789","SPBtPFR",0.132468036321605,2001
"790","TS",0.379515629351355,2001
"791","FTr",0.525483815803707,2001
"792","PTS",0.376998818809255,2001
"793","TRB",0.317987152751624,2001
"794","AST",0.270040425459699,2001
"795","STL",0.313668769246612,2001
"796","BLK",0.212174659042848,2001
"797","PER",0.385573651518836,2001
"798","WS",0.391752160834485,2001
"799","OWS",0.351414181092061,2001
"800","DWS",0.338820489701544,2001
"801","x3PAVG",0.273466047726315,2002
"802","x2PAVG",0.467248230767704,2002
"803","xFTAVG",0.0258364025991306,2002
"804","ASTtTOV",0.155808101670132,2002
"805","SPBtPFR",0.358039594819653,2002
"806","TS",0.623643425903896,2002
"807","FTr",0.405990459504057,2002
"808","PTS",0.374187348687571,2002
"809","TRB",0.324569638646423,2002
"810","AST",0.264575313462022,2002
"811","STL",0.317024078291698,2002
"812","BLK",0.207969014747963,2002
"813","PER",0.387096609806755,2002
"814","WS",0.391320002360551,2002
"815","OWS",0.344530788823844,2002
"816","DWS",0.345262668017707,2002
"817","x3PAVG",0.196723851518499,2003
"818","x2PAVG",0.533684325152852,2003
"819","xFTAVG",0.0028003039446502,2003
"820","ASTtTOV",0.121401384697069,2003
"821","SPBtPFR",0.155250933204864,2003
"822","TS",0.607561171284245,2003
"823","FTr",0.518171014538694,2003
"824","PTS",0.37294534632753,2003
"825","TRB",0.322935059977234,2003
"826","AST",0.281879457252896,2003
"827","STL",0.326166271361452,2003
"828","BLK",0.193927607948183,2003
"829","PER",0.385377058739964,2003
"830","WS",0.3875856085389,2003
"831","OWS",0.348467691329398,2003
"832","DWS",0.336167399253169,2003
"833","x3PAVG",0.148071321357681,2004
"834","x2PAVG",0.459201792604656,2004
"835","xFTAVG",0.0731627782469975,2004
"836","ASTtTOV",0.12921115947285,2004
"837","SPBtPFR",0.335521886944714,2004
"838","TS",0.609160269042021,2004
"839","FTr",0.511379615949477,2004
"840","PTS",0.373173514897332,2004
"841","TRB",0.33319648884102,2004
"842","AST",0.269410604065592,2004
"843","STL",0.316626284152734,2004
"844","BLK",0.230947243068743,2004
"845","PER",0.386819857845344,2004
"846","WS",0.390888333061464,2004
"847","OWS",0.340476591158953,2004
"848","DWS",0.324350305454605,2004
"849","x3PAVG",0.0585558239171346,2005
"850","x2PAVG",0.53071090612551,2005
"851","xFTAVG",0.265650386013382,2005
"852","ASTtTOV",0.341759686125091,2005
"853","SPBtPFR",0.0456159363249281,2005
"854","TS",0.469006991240009,2005
"855","FTr",0.552719610179194,2005
"856","PTS",0.37792073553609,2005
"857","TRB",0.31955761536645,2005
"858","AST",0.271967030106272,2005
"859","STL",0.319631555027443,2005
"860","BLK",0.205789220674546,2005
"861","PER",0.379950807188847,2005
"862","WS",0.393084442913441,2005
"863","OWS",0.353708433095399,2005
"864","DWS",0.335546714402652,2005
"865","x3PAVG",0.265702519021745,2006
"866","x2PAVG",0.424129897107464,2006
"867","xFTAVG",0.486449868235643,2006
"868","ASTtTOV",0.549420445421724,2006
"869","SPBtPFR",0.0434819229837843,2006
"870","TS",0.0974860255184034,2006
"871","FTr",0.446794694253959,2006
"872","PTS",0.376764805712181,2006
"873","TRB",0.312976497478816,2006
"874","AST",0.287087287503703,2006
"875","STL",0.320594290286681,2006
"876","BLK",0.199134466380863,2006
"877","PER",0.383663220254966,2006
"878","WS",0.390073658324289,2006
"879","OWS",0.353105345137886,2006
"880","DWS",0.33346864564942,2006
"881","x3PAVG",0.0335410786706258,2007
"882","x2PAVG",0.575081200085943,2007
"883","xFTAVG",0.474671451030562,2007
"884","ASTtTOV",0.494645493675717,2007
"885","SPBtPFR",0.0453219699086404,2007
"886","TS",0.245861011909289,2007
"887","FTr",0.368331020114667,2007
"888","PTS",0.37565296770122,2007
"889","TRB",0.320558948987656,2007
"890","AST",0.274074907861401,2007
"891","STL",0.312274703826464,2007
"892","BLK",0.204669620042016,2007
"893","PER",0.384798804433054,2007
"894","WS",0.393155026060184,2007
"895","OWS",0.354208360960594,2007
"896","DWS",0.336897687080259,2007
"897","x3PAVG",0.0542637618308262,2008
"898","x2PAVG",0.538696789235594,2008
"899","xFTAVG",0.173032905034057,2008
"900","ASTtTOV",0.339853421799075,2008
"901","SPBtPFR",0.00299638170301041,2008
"902","TS",0.534498148351777,2008
"903","FTr",0.525093544038941,2008
"904","PTS",0.373420135704382,2008
"905","TRB",0.314392806561376,2008
"906","AST",0.268579504792124,2008
"907","STL",0.321968371257971,2008
"908","BLK",0.19993458429842,2008
"909","PER",0.385505719906008,2008
"910","WS",0.389598778754297,2008
"911","OWS",0.354232030506311,2008
"912","DWS",0.34649667390293,2008
"913","x3PAVG",0.0495621275841034,2009
"914","x2PAVG",0.611176389958119,2009
"915","xFTAVG",0.287879446373658,2009
"916","ASTtTOV",0.278802381376924,2009
"917","SPBtPFR",0.000237104211046862,2009
"918","TS",0.455489559020785,2009
"919","FTr",0.505896113610189,2009
"920","PTS",0.372707203739322,2009
"921","TRB",0.313334929083,2009
"922","AST",0.272359032418955,2009
"923","STL",0.317753368521041,2009
"924","BLK",0.189478074622935,2009
"925","PER",0.383173355898348,2009
"926","WS",0.394319629454098,2009
"927","OWS",0.364149857617233,2009
"928","DWS",0.341975242293977,2009
"929","x3PAVG",0.0910330026492732,2010
"930","x2PAVG",0.437876088559369,2010
"931","xFTAVG",0.291313319426567,2010
"932","ASTtTOV",0.405215022684318,2010
"933","SPBtPFR",0.338883231271939,2010
"934","TS",0.333741102888259,2010
"935","FTr",0.569815663717526,2010
"936","PTS",0.371337860250153,2010
"937","TRB",0.321574874369406,2010
"938","AST",0.260727518230622,2010
"939","STL",0.312204424373141,2010
"940","BLK",0.218795063870305,2010
"941","PER",0.382450692770011,2010
"942","WS",0.392764418399399,2010
"943","OWS",0.352910404101875,2010
"944","DWS",0.346839874149494,2010
"945","x3PAVG",0.0138744428707647,2011
"946","x2PAVG",0.572224546496821,2011
"947","xFTAVG",0.414333220540498,2011
"948","ASTtTOV",0.444722968446697,2011
"949","SPBtPFR",0.0579958566237257,2011
"950","TS",0.306311622489937,2011
"951","FTr",0.453569953211292,2011
"952","PTS",0.373466862393124,2011
"953","TRB",0.317969886666254,2011
